system:index,NDVI,aspect,clay_0_15,clay_30_60,elevation,om_0_15,slope,twi,.geo
0_69,0.2896520495414734,180.0,42.0,30.5,2702.0,0.8500000238418579,10.096575736999512,9.251419067186026,"{""type"":""Point"",""coordinates"":[-108.06100663695044,38.240342896393116]}"
0_70,0.26028141379356384,212.48571039654098,31.0,15.5,3007.0,0.9200000166893005,8.728180885314941,9.112025470705309,"{""type"":""Point"",""coordinates"":[-108.07268510573647,38.25375895773667]}"
0_71,0.2749934792518616,243.433850290088,42.0,34.5,2652.0,1.0600000023841858,14.217772483825684,9.121867079238205,"{""type"":""Point"",""coordinates"":[-108.05471870731263,38.20971448342971]}"
0_72,0.32270801067352295,186.91537080470545,31.0,13.5,2935.0,2.319999933242798,18.902965545654297,7.211196029175346,"{""type"":""Point"",""coordinates"":[-108.09344908452887,38.25712775494735]}"
0_73,0.2646282911300659,170.3683452916157,39.0,28.5,2862.0,0.8500000238418579,13.835914611816406,7.540773170653996,"{""type"":""Point"",""coordinates"":[-108.01774198897917,38.216979157391606]}"
0_74,0.29917797446250916,147.51895183586421,43.0,30.5,2557.0,0.7800000011920929,12.967752456665039,10.005895096573141,"{""type"":""Point"",""coordinates"":[-108.11029969807734,38.24080320961147]}"
0_75,0.3490181565284729,260.4429831978114,50.0,33.5,2517.0,0.7100000083446503,16.30414390563965,7.368814834523368,"{""type"":""Point"",""coordinates"":[-108.09112020092434,38.21397776786577]}"
0_76,0.32054486870765686,236.0504119896711,59.0,40.5,2604.0,0.9200000166893005,9.866064071655273,10.085918565522142,"{""type"":""Point"",""coordinates"":[-108.08957464066255,38.239171174891794]}"
0_77,0.28103065490722656,153.00866937706104,46.0,31.5,2917.0,1.0600000023841858,15.242912292480469,8.132790442879518,"{""type"":""Point"",""coordinates"":[-108.04936529604355,38.248171635803146]}"
0_78,0.26875150203704834,120.50751650299051,43.0,31.5,2839.0,0.9200000166893005,5.464441299438477,8.486447376886225,"{""type"":""Point"",""coordinates"":[-108.00299082694478,38.22104551910836]}"
0_79,0.27849799394607544,180.0,42.0,35.5,2496.0,0.8500000238418579,10.992984771728516,7.778113291620672,"{""type"":""Point"",""coordinates"":[-108.09255098014748,38.23003156117252]}"
0_80,0.2977350652217865,326.0102388973641,33.0,21.5,2986.0,0.7800000011920929,18.36109161376953,7.242437251824012,"{""type"":""Point"",""coordinates"":[-108.09607150801159,38.261921318558585]}"
0_81,0.30698391795158386,222.8048086927063,28.0,32.5,2914.0,-9.930000305175781,13.642144203186035,8.248579737820197,"{""type"":""Point"",""coordinates"":[-108.09107401736703,38.256198698342516]}"
0_82,0.2632799446582794,223.68225624913268,46.0,26.5,2716.0,1.199999988079071,10.15251636505127,7.859482727446188,"{""type"":""Point"",""coordinates"":[-108.10563728940743,38.24993037541095]}"
0_83,0.303172767162323,172.36900129084052,43.0,34.5,2892.0,0.8500000238418579,17.239944458007812,8.00283255840379,"{""type"":""Point"",""coordinates"":[-108.02619391828816,38.21762333128562]}"
0_84,0.26953810453414917,243.86085495425124,43.0,30.5,2806.0,0.9200000166893005,10.410356521606445,7.833856633605317,"{""type"":""Point"",""coordinates"":[-108.11088430092305,38.2620634824701]}"
0_85,0.32913288474082947,189.63176294849092,45.0,35.5,2905.0,0.9900000095367432,13.835918426513672,8.23392006448671,"{""type"":""Point"",""coordinates"":[-108.031499226304,38.217655968087634]}"
0_86,0.3257342278957367,223.67646091367834,54.0,38.5,2473.0,0.8500000238418579,5.115927219390869,9.24587369656477,"{""type"":""Point"",""coordinates"":[-108.11813189025791,38.235364849480746]}"
0_87,0.31168079376220703,195.79879064452334,44.0,35.5,2768.0,0.9900000095367432,8.609737396240234,9.125899392111311,"{""type"":""Point"",""coordinates"":[-108.06871249332889,38.24425312620374]}"
0_88,0.25369179248809814,159.10169216551418,42.0,27.5,2806.0,0.9200000166893005,9.830414772033691,8.990998438750418,"{""type"":""Point"",""coordinates"":[-108.0154827771789,38.21514743764465]}"
0_89,0.2995716333389282,154.48515684551103,44.0,35.5,2809.0,0.7800000011920929,16.01314926147461,8.486427777459983,"{""type"":""Point"",""coordinates"":[-108.01176474126973,38.21652506192493]}"
0_90,0.27388787269592285,206.9896482816534,39.0,25.5,2701.0,1.0600000023841858,10.296232223510742,7.845123395965161,"{""type"":""Point"",""coordinates"":[-108.08727821795208,38.242698137948686]}"
0_91,0.2554592192173004,212.47718143073658,59.0,40.5,2547.0,0.8500000238418579,10.862333297729492,10.355313762976612,"{""type"":""Point"",""coordinates"":[-108.07767556148933,38.2298635774984]}"
0_92,0.27170276641845703,180.0,42.0,35.5,2589.0,1.0600000023841858,10.992984771728516,9.724023440675985,"{""type"":""Point"",""coordinates"":[-108.05685852388817,38.20542321593854]}"
0_93,0.2824530005455017,199.99150222988996,44.0,36.5,2617.0,0.9200000166893005,13.558576583862305,8.660426405547058,"{""type"":""Point"",""coordinates"":[-108.1125963007595,38.24641293266554]}"
